#,Hall.,H. Type,Unnamed: 3,L0,L0_ii,L0_iii,L0_iv,L1,L2,Q0,Q0_ii,Q0_iii,Q0_iv,Q1,Q2,M0,M0_ii,M0_iii,M0_iv,M1,M2,G0,G0_ii,G0_iii,G0_iv,G1,G2,Unnamed: 28,L0.1,L0_ii.1,L0_iii.1,L0_iv.1,L1.1,L2.1,Q0.1,Q0_ii.1,Q0_iii.1,Q0_iv.1,Q1.1,Q2.1,M0.1,M0_ii.1,M0_iii.1,M0_iv.1,M1.1,M2.1,G0.1,G0_ii.1,G0_iii.1,G0_iv.1,G1.1,G2.1,Unnamed: 53,L0.2,L0_ii.2,L0_iii.2,L0_iv.2,L1.2,L2.2,Q0.2,Q0_ii.2,Q0_iii.2,Q0_iv.2,Q1.2,Q2.2,M0.2,M0_ii.2,M0_iii.2,M0_iv.2,M1.2,M2.2,G0.2,G0_ii.2,G0_iii.2,G0_iv.2,G1.2,G2.2,Unnamed: 78,L0.3,L0_ii.3,L0_iii.3,L0_iv.3,L1.3,L2.3,Q0.3,Q0_ii.3,Q0_iii.3,Q0_iv.3,Q1.3,Q2.3,M0.3,M0_ii.3,M0_iii.3,M0_iv.3,M1.3,M2.3,G0.3,G0_ii.3,G0_iii.3,G0_iv.3,G1.3,G2.3,Unnamed: 103,Support,Prec. Macro,Prec. Macro Balanced,Prec. Micro A,Prec. Micro B,bayes_posterior,E1_score,E2_score,E3_score,E4_score,E5_score,BAYES_score,WOPT_score,Rank,is_hall,is_real,k,cum_covered,cum_hall
G1.3.5; G2.3.5,Yes,Template drift,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,"0,60","0,74",,,,,,,,,,,,,,,,,,,,,,,,"0,60","0,74",,,,,,,,,,,,,,,,,,,,,,,,"0,60","0,74",,2.0,"1,34","1,337","1,34","1,34",0.03609329819628724,1.34,2.0,1.337,1.34,1.34,0.03609329819628724,0.04764243614931238,67,True,False,97,63,34
Q0_ii.9.4,Yes,Template drift,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,0.0464038609379004,68,True,False,98,63,35
Q0_ii.3.3,Yes,Contextual misfit,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,0.0464038609379004,68,True,False,99,63,36
Q0_ii.4.2,Yes,Template drift,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,0.0464038609379004,68,True,False,100,63,37
GS.6.3,No,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,66",,,,,,,,,,,,,,,,,,,,,,,,,"0,65",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,1.0,"0,66","0,165","0,65","0,49",0.0025062749979787185,0.66,1.0,0.165,0.65,0.49,0.0025062749979787185,0.044780900316050226,69,False,True,101,64,37
GS.10.9,No,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,66",,,,,,,,,,,,,,,,,,,,,,,,,"0,65",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,1.0,"0,66","0,165","0,65","0,49",0.0025062749979787185,0.66,1.0,0.165,0.65,0.49,0.0025062749979787185,0.044780900316050226,69,False,True,102,65,37
M0.2.3,Yes,Architectural infeasibility,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,66",,,,,,,,,,,,,,,,,,,,,,,,,"0,65",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,1.0,"0,66","0,165","0,65","0,49",0.0025062749979787185,0.66,1.0,0.165,0.65,0.49,0.0025062749979787185,0.044780900316050226,69,True,False,103,65,38
GS.10.10,No,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,66",,,,,,,,,,,,,,,,,,,,,,,,,"0,65",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,1.0,"0,66","0,165","0,65","0,49",0.0025062749979787185,0.66,1.0,0.165,0.65,0.49,0.0025062749979787185,0.044780900316050226,69,False,True,104,66,38
M0.3.4,Yes,Template drift,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,66",,,,,,,,,,,,,,,,,,,,,,,,,"0,65",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,1.0,"0,66","0,165","0,65","0,49",0.0025062749979787185,0.66,1.0,0.165,0.65,0.49,0.0025062749979787185,0.044780900316050226,69,True,False,105,66,39
M0_ii.3.2; M0_iv.3.2,Yes,Scope misalignment,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,"0,66",,"0,66",,,,,,,,,,,,,,,,,,,,,,,"0,65",,"0,65",,,,,,,,,,,,,,,,,,,,,,,"0,49",,"0,49",,,,,,,,,,2.0,"1,32","0,329","1,31","0,98",0.008563079142997861,1.32,2.0,0.329,1.31,0.98,0.008563079142997861,0.041769881267617666,70,True,False,106,66,40
M0_ii.3.3; M0_iv.3.3,Yes,Scope misalignment,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,"0,66",,"0,66",,,,,,,,,,,,,,,,,,,,,,,"0,65",,"0,65",,,,,,,,,,,,,,,,,,,,,,,"0,49",,"0,49",,,,,,,,,,2.0,"1,32","0,329","1,31","0,98",0.008563079142997861,1.32,2.0,0.329,1.31,0.98,0.008563079142997861,0.041769881267617666,70,True,False,107,66,41
G0.6.3,Yes,Template drift,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,,,,1.0,"0,85","0,855","0,84","0,68",0.005204341428479724,0.85,1.0,0.855,0.84,0.68,0.005204341428479724,0.04166310754249595,71,True,False,108,66,42
G0.4.1,Yes,Template drift,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,,,,1.0,"0,85","0,855","0,84","0,68",0.005204341428479724,0.85,1.0,0.855,0.84,0.68,0.005204341428479724,0.04166310754249595,71,True,False,109,66,43
G0.4.2,Yes,Template drift,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,,,,1.0,"0,85","0,855","0,84","0,68",0.005204341428479724,0.85,1.0,0.855,0.84,0.68,0.005204341428479724,0.04166310754249595,71,True,False,110,66,44
G0.2.2,Yes,Template drift,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,,,,1.0,"0,85","0,855","0,84","0,68",0.005204341428479724,0.85,1.0,0.855,0.84,0.68,0.005204341428479724,0.04166310754249595,71,True,False,111,66,45
G0_iii.2.3,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,,1.0,"0,85","0,855","0,84","0,68",0.005204341428479724,0.85,1.0,0.855,0.84,0.68,0.005204341428479724,0.04091569146664389,72,True,False,112,66,46
G0_iii.3.2,Yes,Template drift,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,,1.0,"0,85","0,855","0,84","0,68",0.005204341428479724,0.85,1.0,0.855,0.84,0.68,0.005204341428479724,0.04091569146664389,72,True,False,113,66,47
G0_iii.10.1,Yes,Template drift,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,,1.0,"0,85","0,855","0,84","0,68",0.005204341428479724,0.85,1.0,0.855,0.84,0.68,0.005204341428479724,0.04091569146664389,72,True,False,114,66,48
G0_iv.3.3,Yes,Template drift,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,1.0,"0,85","0,855","0,84","0,68",0.005204341428479724,0.85,1.0,0.855,0.84,0.68,0.005204341428479724,0.040040146920645774,73,True,False,115,66,49
G0_iv.5.1,Yes,Template drift,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,1.0,"0,85","0,855","0,84","0,68",0.005204341428479724,0.85,1.0,0.855,0.84,0.68,0.005204341428479724,0.040040146920645774,73,True,False,116,66,50
G0_iv.5.2,Yes,Template drift,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,1.0,"0,85","0,855","0,84","0,68",0.005204341428479724,0.85,1.0,0.855,0.84,0.68,0.005204341428479724,0.040040146920645774,73,True,False,117,66,51
G0_iv.4.2,Yes,Template drift,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,1.0,"0,85","0,855","0,84","0,68",0.005204341428479724,0.85,1.0,0.855,0.84,0.68,0.005204341428479724,0.040040146920645774,73,True,False,118,66,52
G0_iv.10.4,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,1.0,"0,85","0,855","0,84","0,68",0.005204341428479724,0.85,1.0,0.855,0.84,0.68,0.005204341428479724,0.040040146920645774,73,True,False,119,66,53
Q0_iii.10.2,Yes,Contextual misfit,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,0.03903647390450158,74,True,False,120,66,54
Q0_iii.4.3,Yes,Scope misalignment,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,0.03903647390450158,74,True,False,121,66,55
Q0_iii.3.5,Yes,Contextual misfit,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,0.03903647390450158,74,True,False,122,66,56
Q0_iii.4.4,Yes,Contextual misfit,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,0.03903647390450158,74,True,False,123,66,57
Q0_iii.7.2,Yes,Contextual misfit,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,0.03903647390450158,74,True,False,124,66,58
Q0_iii.3.6,Yes,Architectural infeasibility,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,0.03903647390450158,74,True,False,125,66,59
Q0_iii.3.4,Yes,Template drift,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,0.03903647390450158,74,True,False,126,66,60
M1.10.2,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,1.0,"0,75","0,750","0,75","0,75",0.0025062749979787185,0.75,1.0,0.75,0.75,0.75,0.0025062749979787185,0.0384171862987956,75,True,False,127,66,61
GS.3.8,No,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,1.0,"0,75","0,750","0,75","0,75",0.0025062749979787185,0.75,1.0,0.75,0.75,0.75,0.0025062749979787185,0.0384171862987956,75,False,True,128,67,61
Q2.9.2,Yes,Architectural infeasibility,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,1.0,"0,72","0,724","0,72","0,72",0.004040145799861532,0.72,1.0,0.724,0.72,0.72,0.004040145799861532,0.03679422567694542,76,True,False,129,67,62
Q2.4.2,Yes,Scope misalignment,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,1.0,"0,72","0,724","0,72","0,72",0.004040145799861532,0.72,1.0,0.724,0.72,0.72,0.004040145799861532,0.03679422567694542,76,True,False,130,67,63
Q2.9.6,Yes,Architectural infeasibility,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,1.0,"0,72","0,724","0,72","0,72",0.004040145799861532,0.72,1.0,0.724,0.72,0.72,0.004040145799861532,0.03679422567694542,76,True,False,131,67,64
GS.10.8,No,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,1.0,"0,72","0,724","0,72","0,72",0.004040145799861532,0.72,1.0,0.724,0.72,0.72,0.004040145799861532,0.03679422567694542,76,False,True,132,68,64
Q2.10.4,Yes,Template drift,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,1.0,"0,72","0,724","0,72","0,72",0.004040145799861532,0.72,1.0,0.724,0.72,0.72,0.004040145799861532,0.03679422567694542,76,True,False,133,68,65
Q2.10.5,Yes,Template drift,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,1.0,"0,72","0,724","0,72","0,72",0.004040145799861532,0.72,1.0,0.724,0.72,0.72,0.004040145799861532,0.03679422567694542,76,True,False,134,68,66
GS.9.7,No,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,1.0,"0,72","0,724","0,72","0,72",0.004040145799861532,0.72,1.0,0.724,0.72,0.72,0.004040145799861532,0.03679422567694542,76,False,True,135,69,66
Q0.4.7,Yes,Contextual misfit,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,0.03254463141710088,77,True,False,136,69,67
Q0.4.12,Yes,Template drift,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,0.03254463141710088,77,True,False,137,69,68
Q0.4.11,Yes,Template drift,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,0.03254463141710088,77,True,False,138,69,69
Q0.9.4,Yes,Template drift,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,0.03254463141710088,77,True,False,139,69,70
Q0.3.9,Yes,Template drift,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,0.03254463141710088,77,True,False,140,69,71
Q0.4.2,Yes,Template drift,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,0.03254463141710088,77,True,False,141,69,72
Q0.3.8,Yes,Template drift,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,0.03254463141710088,77,True,False,142,69,73
Q0.10.6,Yes,Template drift,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,0.03254463141710088,77,True,False,143,69,74
Q0.10.2,Yes,Template drift,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,0.03254463141710088,77,True,False,144,69,75
Q0.10.5,Yes,Template drift,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,0.03254463141710088,77,True,False,145,69,76
Q0.10.7,Yes,Template drift,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,0.03254463141710088,77,True,False,146,69,77
Q0.3.7,Yes,Contextual misfit,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,0.03254463141710088,77,True,False,147,69,78
Q0.10.3,Yes,Template drift,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,0.03254463141710088,77,True,False,148,69,79
Q0.3.2,Yes,Contextual misfit,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,0.03254463141710088,77,True,False,149,69,80
M0_iv.8.1,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,66",,,,,,,,,,,,,,,,,,,,,,,,,"0,65",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,1.0,"0,66","0,165","0,65","0,49",0.0025062749979787185,0.66,1.0,0.165,0.65,0.49,0.0025062749979787185,0.03055864012983685,78,True,False,150,69,81
M0_iv.7.5,Yes,Contextual misfit,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,66",,,,,,,,,,,,,,,,,,,,,,,,,"0,65",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,1.0,"0,66","0,165","0,65","0,49",0.0025062749979787185,0.66,1.0,0.165,0.65,0.49,0.0025062749979787185,0.03055864012983685,78,True,False,151,69,82
M0_iv.8.2,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,66",,,,,,,,,,,,,,,,,,,,,,,,,"0,65",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,1.0,"0,66","0,165","0,65","0,49",0.0025062749979787185,0.66,1.0,0.165,0.65,0.49,0.0025062749979787185,0.03055864012983685,78,True,False,152,69,83
M0_iv.7.3,Yes,Contextual misfit,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,66",,,,,,,,,,,,,,,,,,,,,,,,,"0,65",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,1.0,"0,66","0,165","0,65","0,49",0.0025062749979787185,0.66,1.0,0.165,0.65,0.49,0.0025062749979787185,0.03055864012983685,78,True,False,153,69,84
M0_ii.8.2; M0_iii.8.1,Yes,Architectural infeasibility,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,"0,66","0,66",,,,,,,,,,,,,,,,,,,,,,,,"0,65","0,65",,,,,,,,,,,,,,,,,,,,,,,,"0,49","0,49",,,,,,,,,,,2.0,"1,32","0,329","1,31","0,98",0.008563079142997861,1.32,2.0,0.329,1.31,0.98,0.008563079142997861,0.030537285384812506,79,True,False,154,69,85
Q1.10.3,Yes,Template drift,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,1.0,"0,75","0,750","0,75","0,75",0.004040145799861532,0.75,1.0,0.75,0.75,0.75,0.004040145799861532,0.02744084735628257,80,True,False,155,69,86
Q1.3.6,Yes,Scope misalignment,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,1.0,"0,75","0,750","0,75","0,75",0.004040145799861532,0.75,1.0,0.75,0.75,0.75,0.004040145799861532,0.02744084735628257,80,True,False,156,69,87
G2.9.4,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,1.0,"0,74","0,737","0,74","0,74",0.005204341428479724,0.74,1.0,0.737,0.74,0.74,0.005204341428479724,0.026693431280430512,81,True,False,157,69,88
